id,product,date,product_description,content,rating,brand
64130,"Signature Sleep Memoir 12-Inch Memory Foam Mattress, Queen Size",22 Jun 2019,"Size: Queen | 
            
             Style: 12"" Memory Foam The Memoir 12 by Signature Sleep is a memory foam mattress that encompasses the comfort of memory foam, minimizes pressure on the body, and provides balanced support. Within minutes it creates a perfectly personalized and balanced form around the body. The Memoir 12 mattress will support body weight evenly, relieve pressure focused on the shoulders, hips, and feet, and eliminate motion disturbance. The result is a unique and unprecedented sleeping experience. The Memoir Mattress Collection will provide lasting comfort, with a dense foam core that ensure years of unbridled durability. For your convenience and even more cost savings, this mattress is shipped compressed, rolled and vacuum sealed.","Very comfortable as I wanted a more firm bed and it is a little on the firm side. Only thing I hate is the smell!! That’s why it only got 4 stars. Unwrapped it in my basement bedroom and it being colder down there, it took almost a week to fully inflate. Now, almost a month later I can still smell the chemical smell from the mattress. It used to smell up the entire room, now I only smell it occasionally when I’m laying on it. Other than taking forever to inflate (but my room IS cold) and the smell, it’s a good deal for the price. Still happy with my purchase!",4.0,signature sleep
111289,Ashley Furniture Signature Design - 12 Inch Chime Express Memory Foam Mattress - Bed in a Box - Queen - Firm Comfort Level - White,30 Sep 2019,"Size: Queen | 
            
             Style: 12 Inch Take sleep to a whole new level with the comfort of the chime 12 inch express mattress. Simply unpack and unroll your bed for maximum comfort.6. Care instruction: To help keep your Ashley-Sleep mattress clean, a thin mattress protector is recommended so it breathes to allow airflow and heat dissipation. Ashley-Sleep does not recommend you use a quilted mattress pad as it will change the feel of the mattress you selected at the store. It may also trap heat that needs to escape. Don’t use dry cleaning fluid of any type on your mattress. These chemicals could damage some of the comfort and upholstery materials. Vacuuming is the only recommended cleaning method. If you must clean a stain, use mild soap with cold water and apply lightly, allowing the mattress time to fully air dry. Please remind the kids not to jump on their Ashley-Sleep mattress, as doing so can break down the inner construction and materials. Care Instructions: Product Care|Mattresses:|Rest easy with the fact that your Ashley-Sleep mattress doesn’t require much care and maintenance. For starters all Ashley-Sleep mattresses are designed to be no flip—now isn’t that a relief!|How to Care for Your Mattress:|To help keep your Ashley-Sleep mattress clean a thin mattress protector is recommended so it breathes to allow airflow and heat dissipation. Ashley-Sleep does not recommend you use a quilted mattress pad as it will change the feel of the mattress you selected at the store. It may also trap heat that needs to escape.|Don’t use dry cleaning fluid of any type on your mattress. These chemicals could damage some of the comfort and upholstery materials.|Vacuuming is the only recommended cleaning method. If you must clean a stain use mild soap with cold water and apply lightly allowing the mattress time to fully air dry.|Please remind the kids not to jump on their Ashley-Sleep mattress as doing so can break down the inner construction and materials. How to Care for Your Mattress: 1. To help keep your Ashley-Sleep mattress clean, a thin mattress protector is recommended so it breathes to allow airflow and heat dissipation. Ashley-Sleep does not recommend you use a quilted mattress pad as it will change the feel of the mattress you selected at the store. It may also trap heat that needs to escape. 2. Don’t use dry cleaning fluid of any type on your mattress. These chemicals could damage some of the comfort and upholstery materials. 3. Vacuuming is the only recommended cleaning method. If you must clean a stain, use mild soap with cold water and apply lightly, allowing the mattress time to fully air dry. 4. Please remind the kids not to jump on their Ashley-Sleep mattress, as doing so can break down the inner construction and materials.",We bought this for the guest room and guests have commented that it is very comfortable.,5.0,ashley
65190,"Signature Sleep Memoir 12-Inch Memory Foam Mattress, Queen Size",12 Jun 2018,"Size: Queen | 
            
             Style: 12"" Memory Foam The Memoir 12 by Signature Sleep is a memory foam mattress that encompasses the comfort of memory foam, minimizes pressure on the body, and provides balanced support. Within minutes it creates a perfectly personalized and balanced form around the body. The Memoir 12 mattress will support body weight evenly, relieve pressure focused on the shoulders, hips, and feet, and eliminate motion disturbance. The result is a unique and unprecedented sleeping experience. The Memoir Mattress Collection will provide lasting comfort, with a dense foam core that ensure years of unbridled durability. For your convenience and even more cost savings, this mattress is shipped compressed, rolled and vacuum sealed.",fast delivery ! perfect,5.0,signature sleep
34524,"Classic Brands Cool Ventilated Gel Memory Foam 8-Inch Mattress, Full, White",02 Mar 2018,"Size: Full | 
            
             Style Name: 8"" Cool Gel Mattress Only Classic Brands Ventilated 8-inch Cool Gel Memory Foam Mattress is the latest technology in memory foam mattresses. One layer of 2 inches of gel-infused memory foam draws heat away from your body and allows breathability. The second layer beneath consists of 6 inches of high-density memory foam that conforms to your body providing support, pressure point relief, and proper spinal alignment for a great night's sleep. Perfect for kid’s rooms, college dorms, and guest rooms, this mattress is a great value for any room in the house. The Cool Gel 8-inch Gel Memory Foam Mattress combines two leading sleep technologies at an incredible value. Gel-infused memory foam keeps you cool during sleep and body-contouring memory foam reduces pressure points and properly aligns the spine. Gel draws heat away from the body and creates a cooler sleep surface and aids in preventing excessive tossing and turning so you can get a more restful night's sleep. The feel of this gel memory foam mattress is medium firm - slightly plusher than a traditional firm mattress and it’s adjustable base friendly. Benefits of Gel Memory Foam A gel memory foam mattress can support each part of the body evenly and individually. Gel Memory foam slowly and automatically adjusts to your body weight and temperature. In addition to the slow, conforming response, gel memory foam offers complete, luxurious and stress-free support. Additionally, when you do move in bed, memory foam gently 'fills in' and reshapes itself to your new sleeping posture, cradling every contour of your body. The Latest Gel Memory Foam Technology Gel Memory Foam is a unique material that infuses gel particles into visco-elastic memory foam, creating a plusher and cooler sleeping material. Gel memory foam is more porous or open than conventional foam meaning the cells are interconnected unlike closed cell foam; thereby is more breathable and comfortable than higher density visco-elastic foam. The open-celled physical structure of our foams is self-ventilating. Air travels throughout the material and dissipates body heat regulating your body temperature. Gel Memory foam is naturally hypoallergenic and resistant to allergens, mold, bacteria and dust mites. Why Buy a Cool Gel Memory Foam Mattress? Cool Gel mattresses with gel infused memory foam disperse body heat and create a cooler sleeping surface while retaining the pressure-relieving properties of traditional memory foam. Tossing and turning are dramatically diminished and disrupted sleep patterns are greatly eliminated so you can sleep longer without moving and enjoy the benefits of a deeper, more restful sleep pattern. CertiPUR-US Certified Classic Brands gel memory foam mattresses are CertiPUR-US Certified. The CertiPUR-US program is a voluntary testing, analysis and certification program for flexible polyurethane foam used as a cushioning material in home furnishings such as adult mattresses, crib mattresses, upholstered furniture and some accessory comfort products. Certified flexible polyurethane foams have been independently laboratory tested. Get it Right the First Time It is also a good idea to know the size and the height of your mattress ahead of time to make sure you are ordering the correct size. Keep in mind that you should combine the height of your bed frame, foundation, or adjustable bed base with the height of your mattress to get a gauge of the how tall your sleep system will be. Twin Size - 39"" W x 75"" L x 8"" H Twin XL Size - 39"" W x 80"" L x 8"" H Full Size - 54"" W x 75"" L x 8"" H Queen Size – 60"" W x 80"" L x 8"" H King Size – 76"" W x 80"" L x 8"" H California King Size – 72"" W x 84"" L x 8"" H Classic Brands Smart Packaging Classic Brands also uses Smart Packaging. Smart packaging reduces the carbon footprint in the manufacturers shipping process. Our advanced packaging technology means we can roll-pack our mattresses and ship them at one-third of the normal size. Because of this process, we can ship more mattresses per delivery and reduce the amount of carbon emissions. A mattress that is roll-packed still retains its initial quality, as each will quickly recover and return to its original shape after being removed from its packaging. Quality Assurance The Classic Brands Ventilated 8-inch Cool Gel Memory Foam Mattress is backed with a 10-year worry-free warranty. Look for more innovative specialty sleep products from Classic Brands.",My wife had hip surgery and we needed to set up a bed downstairs in the spare room. So far this has been great at a great price. She is very comfortable which is very important right now. I wish these were around when I was looking for beds for my kids when they were young. Would have been great for their platform beds,5.0,classic brands
25597,"PrimaSleep Wave Gel Infused Memory Foam Mattress, 10'' H, Full, Blue",09 May 2020,"Color: Blue | 
            
             Size: Full PrimaSleep 10 inch wave cool gel infused memory foam mattress - I gel infusion, ventilation memory foam mattress new gel materials that are breathable, help you sleep in proper temperature. Non temperature sensitive foam. Pressure-relief materials that adapts to your body shape, weight and temperature. I gel performance materials to lower temperature ventilation with convoluted HD layer our foam is designed to improve its durability with an excellent breathability and resilience than compared to other ordinary memory foam. Our mission is to provide the most reliable & innovative products that results in most satisfying sleep experience.",The matress is really comfortable! I got a platform style frame for it (with a metal frame and wood slats) and it's semi-firm but conforms to your body shape and curves. It's definitely worth the money I spent!,5.0,primasleep
7860,"Linenspa 5"" Gel Memory Mattress, Twin",18 Jun 2019,"Size: Twin | 
            
             Style: Mattress Only For a upgrade to the basic mattress, the LINENSPA 5 Inch Gel Memory Foam Mattress offers the benefits of memory foam and firm support. A comfort layer at the surface features a 1 inch layer of gel infused memory foam that compresses to hug curves and alleviate pressure. Infusing the memory foam with gel material helps to distribute heat to maintain a comfortable temperature. Beneath the comfort layer, a 4 inch layer of high density support foam offers the support you need to wake up refreshed. This mattress has a low profile, so it is a perfect fit for bunk beds and trundle beds. It has a soft, breathable fabric cover and comes with a 10-year warranty from the manufacturer.","I purchased this mattress to use in our camper.  It sits on a plywood base, so the mattress is really the only thing offering support.  Set up was super easy and it expanded quickly. I have a bad back and slept 4 nights on this mattress with very little pain. It wouldn't be ideal for an adult to use full time, but for occasional use in a camper or a spare bed it's fantastic!  Great value for money.  I used to dread camping because I knew I'd be visiting the chiropractor when we got home, but not any more! Couldn't be happier.",4.0,linenspa
42055,"Best Price Mattress 6-Inch Memory Foam Mattress, Full",13 Oct 2018,"Size: Full | 
            
             Style Name: 6 Inch Memory foam provides a great sleeping surface. In normal temperatures, it is somewhat firm, but when you lay down, it starts reacting to the temperature of your body and begins to mold itself to your shape. Then, weight is evenly distributed along the surface, relieving pressure points and helping you to sleep more without tossing and turning. Mattress Facts: 6"" Deep Dual Layers: 1"" Memory Foam top+2"" Super soft foam + 3"" Supportive Layer below. Rich Poly Jacquard fabric cover .10 Year Warranty.",Excellent quality compared to the price!,5.0, 
78452,"Classic Brands Cool Gel 2.0 Ultimate Gel Memory Foam 14-Inch Mattress with 2 BONUS Pillow , King, White",28 Nov 2018,"Style: Cool Gel 2.0 Mattress | 
            
             Size: King Experience cloud-like luxury with our Classic Brands cool Gel Ultimate gel memory foam 14- inch mattress. This mattress offers a plusher and incredibly comfortable sleeping surface. Starting with a whopping 3.5-inch top layer, which consists of breathable ventilated cool gel memory foam that conforms to your shape and has a faster recovery factor than conventional memory foam. A second layer of 2-inch memory foam works with the top layer for comfort and support providing you with the ultimate sleeping experience. The 8.5-inch base layer maintains the strength and effectiveness of the layers. Know the size and height of your mattress ahead of purchase to make sure you are ordering the correct size. Keep in mind that you should combine the height of your bed frame, foundation, or adjustable bed base with the height of your mattress to get an approximate idea. Our advanced packaging technology means we can roll-pack our mattresses and ship them at one-third of the normal size. A mattress that is roll-packed still retains its initial quality, as each will quickly recover and return to its original shape when opened. Look for more innovative specialty sleep products from Classic Brands. Our mattresses are CertiPUR-US Certified. Certified flexible polyurethane foams have been independently laboratory tested.","This product is NOT FOR HEAVY PEOPLE.  Husband and I have been using this mattress (size queen) for a little over a month now. I now have back pain that extends throughout the day AND also have leg/knee/hip pain, causing me to walk like pinguin, and my arms/hands tingle in the morning.  The mattress simply does not provide sufficient support.  I did not have these issues with my prior mattress (which was a cheap coil that we had for two years).  I bought this only because my prior mattress was a full size and I wanted a little more room.  Husband hates this mattress and says he feels like he is falling off the side.  Sadly I’ve missed the return deadline.  I will therefore give this mattress to a light-weight friend in hopes that (in this instance) size does matter, because I do like the look of this bed and I suspect these type mattresses work better for lighter folks.  And if it works for her then I will be happy to have purchased this item — as the price was right and so is its look.",1.0,classic brands
12155,"Rivet Memory Foam Mattress with Celliant Cover, US-CertiPUR Certified, 10-Inch Height, Queen",25 Feb 2019,"Size: Queen An Amazon Brand - Experience deep, restorative sleep with the Rivet Mattress. Our 3-layer design with Celliant technology is instantly responsive so you fall asleep faster, stay asleep longer, and recover more deeply.","So I’ve had this mattress a few months now and wanted to give it some time before I dove I tot he review. After that time I’ve grown to love this mattress, and at the price I got it at makes even more of an amazing offer. Setup was easy, although the box is massive & heavy , once it was rolled out it was easier to move around. You’ll notice the mattress is much more soft once you take it out of the box but once it sets up, it gets firmer and firmer. So far there’s no pockets or dead zones, and I’ll certainly follow up with the review in a few months to update. Be careful though as the mattress has a cover on it, the manual states that the second you pull the zipper down, it voids the warranty so if you have to clean the cover on it, you’ll void it.",5.0, 
7133,"Queen Mattress- Sweetnight Queen Size Mattress in a Box,10 Inch Plush Pillow Top Spring Hybrid Mattress,Gel Memory Foam for Sleep Cool, Motion Isolating Individually Wrapped Coils,10 Year Warranty",12 Apr 2020,"Size: Queen | 
            
             Style: 10INCH Sweet night Queen mattress in a box smartly shipped to your door step for easy set up -The best price mattress you can get We are the maker no channel cost real quality at half price -Our bed mattress comes with a 10 year - Over 96% of our customers keep their queen size spring hybrid mattress and refer it to others -24/7 email support If for any reason you are unsatisfied contact us at any time About Sweetnight MattressesWe know how hard it is to find the perfect mattress that fits just right and suits all your needs We believe everyone should sleep well and feel refreshed after a hard day’s work After over 10 000 users experience feedback studies people bodies countless material testing we have created this queen size mattress just for you! What makes Sweetnight Hybrid mattress so different?- It has a breathable quilted knit pillow top cover with bright gray side panels making it the perfect queen size mattress design Say goodbye to ugly pale mattresses - The gel memory foam layer comfortable breathable and slowly adjusts to your body temperature and most of all its ability to inhibit bacterial and parasitic growth  -Compatible with all set ups The queen size mattresses are designed to rest on any firm flat surface irrespective of whether it is boxsping/foundation platform or slatted base What is in the box? 1x Sweetnight hybrid mattress 1x night sleep opener 1x manual & card Note Please follow the guides in the manual accordingly Endeavor to open your mattress package within 72 hours of receiption and allow 72 hours for your new mattress to return to its original plush shape",Very comfortable,5.0,sweetnight
62171,"EARLY BIRD Essentials 6-Inch Memory Foam Mattress, Comfort Body Support, Bed in a Box, CertiPUR-US Certified, No Harmful Chemicals, Plush, 10-Year Warranty, Twin",19 Feb 2020,,"Really like my new mattress, sleep like a baby and with the adjustable bed frame it makes life so much easier.",5.0, 
50575,"Sweetnight Queen Mattress-Queen Size Mattress,10 Inch Gel Memory Foam mattress with CertiPUR-US Certified for Back Pain Relief /Motion Isolation&Cool Sleep, Flippable Comfort from Soft to Medium Firm",01 Oct 2019,,"All in all, this is a pretty good mattress at a reasonable price.  It isn't the best and it isn't the worst.  There are a few major flaws through. First, the mattress has a VERY bad odor that lasted for months.  Literally.  It gave off a terrible smell that was overwhelming for about a week but lingered for much longer than that.  I ended up moving it into my guest room because it was too much to handle in my bedroom.  Also, the mattress has a very ""slick"" texture (or lack of texture) on the underside so it moves around a lot on the mattress support.  These were both pretty big flaws for me. The mattress is comfortable but the flaws are tough to overcome.  There are others in this price range that are better quality.",3.0,sweetnight
95261,"DynastyMattress 10-Inch CoolBreeze Gel Memory Foam Mattress for RV, Camper-Short Queen Size",17 Apr 2020,"Size: QUEEN-RV Introducing the NEW 10-inch CoolBreeze GEL 4lb Density Memory Foam Mattress for RV, Camper taking memory foam comfort to the next generation! Made with 4-layer construction: 2.5 "" Gel Foam, 2"" + 2"" Cool AirFlow Foam Support, 3.5"" High Density Foam for ultimate support base! Infused gel beads into premium memory foam; provides the ultimate solution, combining comfort, support pressure relief and improved airflow for a cooler night's sleep! Compares to name brands! Comforting rating: Medium Firm. Mattress Only! Foundation not included. Short Queen RV size: W60"" x L75"" x H10"".",Super nice mattress I woke up pain free for the 1st time .The mattress never had any smell .The mattress package tight. The delivery driver was very nice very friendly .Im very pleased,5.0,dynastymattress
86716,"Modway Aveline 6"" Gel Infused Memory Foam Twin Mattress With CertiPUR-US Certified Foam",08 Sep 2018,"Size: Twin | 
            
             Style: 6 inch Take a deep breath and exhale because you've found your pathway to that perfect sleep with the Aveline 6 inch pressure relief twin memory foam mattress. Topped with gel-infused memory foam to keep your body climate steady, this firm twin mattress dissipates your body heat while quickly conforming to your weight and position. Sleep peacefully with an open cell ventilated memory foam solution that relieves pressure points, reduces bounce between two sleepers, and delivers welcome relief from the aches and pains of traditional twin mattresses. Aveline cooling gel twin mattress is CertiPUR-US certified by accredited independent testing laboratories, so you can be confident that the memory foam is made without formaldehyde, ozone depleters, mercury, and other heavy metals including PBDEs, TDCPP or TCEP (”Tris”) flame retardants, and is low on VOC. This 6 inch twin memory foam mattress comes vacuum-packed and rolled to fit into an easily portable box. It takes 2 to 4 hours for the twin gel mattress from your bed in a box to expand most of the way and a day to expand fully. Includes a removable stretch knit diamond patterned cover. Box spring or foundation is optional. Slatted bases should be less than 3"" apart.",Shipping was quick and the mattress was better than expected!,5.0,modway
132851,TEMPUR-LUXEbreeze Soft,9/30/2019, ,"Comfortable. Does not stay cool all night. Only cool to touch. Heats up very quickly after you lay on it, stays hot while getting up to go to restroom. False claims and false advertisement when you say 8% cooler all night and that it will stay cool all night. Only reason I bought this mattress was for the coolness it was suppose to be but it is not  at all. Very disappointed and stuck.",2.0,Tempur-Pedic
28135,"Red Nomad Memory Foam Mattress Topper - Ultra Soft Bed Pad with Full Cooling Support for a Sweat Free and Comfortable Sleep - 4 Inch, King Size - Made in The USA",13 Dec 2018,,"The mattress pad has a very strong smell that is still there 2 months later.  I was hoping it would go away by now, but it hasn't.  And I can't even return it.  What a waste.  Don't buy this unless you are ok with sleeping in a strong odor.",1.0,made in the usa
18129,LUCID 10 Inch 2019 Gel Memory Foam Mattress - Medium Firm Feel - CertiPUR-US Certified - 10-Year Warranty - Queen,14 Nov 2019,"Style: 2019 Model Medium Plush | 
            
             Size: Queen A combined 2. 5-inch layer of ventilated gel memory foam and a 7.5-inch layer of high density support foam gives a pressure-relieving and supportive mattress for a medium-firm feel. The top memory foam layer is designed to prevent heat build-up; Microscopic gel beads capture heat and move it away from the body to help regulate temperature as you sleep. This surface layer of memory foam has a ventilated design that improves airflow. The open cell structure of Lucid memory foam makes for a longer lasting, more resilient foam that will not leave long-lasting body impressions. Soft, Breathable cover made of a cozy Tencel blend fabric (10 percent Tencel lyocell, 90 percent polyester), the soft cover creates a breathable air layer at the top of the mattress. This mattress is CertiPUR-US certified, which means the foam has been independently tested for safety of materials used, physical performance and environmental stewardship. Careful construction guarantees no prohibited phthalates, no ozone depletes, no CFCs, no mercury, no formaldehyde, no PBDEs, and low emission (VOCs) for indoor air quality. This mattress does not contain synthetic or natural latex of any kind. We offer a 10-Year that protects the mattress and cover against manufacturer defect. All of our products are shipped vacuum packed, so your mattress is easy to transport and set up. After your mattress arrives, simply take the package into the right room, remove it from the box and protective wrap, and then watch as it expands.","We have had this mattress for about 1 year and it has not held up and is the most uncomfortable mattress. Within a few months there was a sunken area in the middle. We tried rotating the mattress, flipping the mattress, ans flipping and rotating. Needless to say still a huge sunken area in the middle. I am 230 and my wife is 155# seems like it should hold up to our weights. It does bring closeness because we both roll to the center of the bed. This is a total waste of your money. We do not want a replacement -- crap is crap-- or you get what you pay for. Better off to pay more than have to replace the mattress in less than a year not to mention the miserable nights of sleep we have had to endure.",1.0,lucid
75443,LUCID 12 Inch Queen Latex Hybrid Mattress - Memory Foam - Responsive Latex Layer - Premium Steel Coils - Medium Firm Feel - Temperature Neutral,10 Jul 2018,"Size: Queen | 
            
             Style Name: 12 inch Sleep cooler and enjoy greater pressure relief with our new LUCID 10-Inch Latex Hybrid mattress. By combining supportive coils, plush memory foam, and responsive latex, we’ve compiled all the best materials to form the luxury sleep dream team. The perfect mattress for those who are hesitant to purchase a 100-percent memory foam mattress. This medium-firm mattress is supported by a 5.5-inch, individually-encased steel coil base sandwiched in foam for greater edge support and motion isolation, so you and your partner can sleep without interruption all night long. Topped with a two-tone, circular knit fabric cover, this durable mattress is protected by a 10-year warranty against manufacturer defects and will be part of the family for years to come.","I was always a skeptic of the “beds in a box.” But after hearing about some other personal friends experiences with them I decided to try. Just as everyone else said, the box looked like it was blown up several times, but the mattress arrive damage free. It was fun to unbox it, and watch it expand. The first thing I noticed is the mattress feels so cold, it almost feels wet. After 24 hours of letting it set up, I slept on it. It’s maybe slightly on the firm side at first, now after a month it’s slightly less firm but still extremely plush. I sleep like a rock, and I find myself having to force myself to get up as it’s just that comfortable. That’s good and bad I guess, but I’ll say I’ve never had a mattress that has had that effect on me. I also have bad back problems, but I find the more I sleep on it, the less pain I feel in the mornings. Buy it. You’ll love it.",5.0,lucid
40523,"Zinus 6 Inch Spring Mattress, Twin",11 Feb 2019,"Size: Twin | 
            
             Style: 6 Inch Zinus 6 Inch Hybrid Foam and Spring Mattress offers firm support for a better night's sleep. This innovative mattress features a fiber quilted cover, high-density support foam, comfort foam layer and heavy duty innerspring support. Please open your mattress package within 72 hours of receipt and allow 48 hours for your new mattress to return to its original, plush shape. Worry free 10 year limited warranty. Another comfort innovation from Zinus. Pioneering comfort.",Unbelievable. We already had one of their mattresses and decided to separate frame into two twin frames. Ordered the twin mattresses and they fit perfectly and got high marks.,5.0,zinus
29134,"Sleep Innovations Shiloh 14-inch Memory Foam Mattress Bed in a Box, Made in The USA, 10-Year Warranty, Queen, White",24 Aug 2019,"Size: Queen | 
            
             Style Name: 14 Inch Height Upgrade a master suite or guest room with the Shiloh Mattress. Providing incredible comfort at exceptional value, the Shiloh Mattress features our most cloudlike memory foam technology to help you fall asleep faster and stay asleep longer.",Had it a month. So far so good!,5.0,sleep innovations
